TITLE;TYPE;GUID;PARENT_GUID;CAD_CODE;PARENT_CAD_CODE;DISPLAY_CODE;PARENT_DISPLAY_CODE;UNIT;UNITARY_PRICE;VAT_APPLICABLE;QUANTITY;DESC_CONTRACTOR;DESC_CLAUSE;DESC_CLIENT;DESC_LOCATION;DESC_COMMENTARY;GENERALITY;OPTION;VARIANT;OPTION_NUMBER;OPTION_LABEL;LEVEL;CLASS;CODE_INIES;CARBON_WEIGHT;CARBON_ACV_NAME;CARBON_ACV_CODE;CLASSIFICATION_COST;CLASSIFICATION_NAME;CLASSIFICATION_CODE;CATEGORY_NAME;CATEGORY_CODE;FINISHING_NAME;FINISHING_CODE;CREATION_DATE;EDITION_DATE
NOTICE DESCRIPTIVE;LOT;{3d027110-5f88-4d53-b56e-aea8c3e2cc2d};{6610fb39-945e-40cf-bcdb-0ebb45b57d0d};;;;OUVRAGES;;;;;;;;;;0;0;0;;;2;OUVRAGES;;;;;;;;;;;;2026-05-05T11:04:14;2026-05-05T11:04:14
GENERALITES;CHAPTER;{c3c1a7d2-22d8-40c7-a275-eecb3ca1a120};{3d027110-5f88-4d53-b56e-aea8c3e2cc2d};;;;;;;;;;;;;;1;0;0;;;3;OUVRAGES;;;;;;;;;;;;2026-05-05T11:04:14;2026-05-05T11:04:14
DESCRIPTIF SOMMAIRE PROJET;CHAPTER;{15e2c30e-23bb-490a-b5c7-bf45689f1553};{c3c1a7d2-22d8-40c7-a275-eecb3ca1a120};;;;;;;;;Réalisation d'une construction de bâtiment d'activité de commerces et de loisirs. Le bâtiment comprend les espaces suivants :\n- Zone terrains avec 8 pistes de padel\n- Clubhouse\n- Restaurant avec P>20kW\n- Salle de séminaire\n- Vestiaires et sanitaires\n- Terrasses extérieures\n- Deux commerces indépendants\n- Aménagements extérieurs dont un accès sur rue\n;;;;;1;0;0;;;4;OUVRAGES;;;;;;;;;;;;2026-05-05T11:04:14;2026-05-05T11:04:14
HYPOTHESES DE TRAVAIL;CHAPTER;{8866a72a-9741-4afe-bbd2-de450aca462c};{c3c1a7d2-22d8-40c7-a275-eecb3ca1a120};;;;;;;;;;;;;;1;0;0;;;4;OUVRAGES;;;;;;;;;;;;2026-05-05T11:04:14;2026-05-05T11:04:14
Données géographiques;ELEMENT;{d33a0f1e-4687-4990-a28a-720af952fdc1};{8866a72a-9741-4afe-bbd2-de450aca462c};;;;;;0;0,2;0;- Altitude du site : ...m environ\n- Zone de neige : A2\n- Zone de vent : 2\n- Zone de sismicité : (...)\n;;;;Commentaire :\nRégion Rhône-Alpes :\nNeige (NV65 2009) = A2\nVent (NV65 2009) = 2 (sauf Villefranche/Saône et Belleville/Saône)\nSismicité = voir site internet www.planséisme.fr / saisir la commune\n;1;0;0;;;9;OUVRAGES;;0;;;;;;;;;;2026-05-05T11:04:14;2026-05-05T11:04:14
Bornage du terrain;ELEMENT;{8583bc6c-4068-40ee-a677-f6598819739c};{8866a72a-9741-4afe-bbd2-de450aca462c};;;;;;0;0,2;0;Le terrain est supposé borné par un géomètre expert.\nLe plan de bornage contradictoire devra être fourni par le Maître d'Ouvrage avant le démarrage des travaux.\n;;;;;1;0;0;;;9;OUVRAGES;;0;;;;;;;;;;2026-05-05T11:04:14;2026-05-05T11:04:14
Caractéristiques du sol;ELEMENT;{7330345a-ed44-4497-9ce8-ff22dee20a22};{8866a72a-9741-4afe-bbd2-de450aca462c};;;;;;0;0,2;0;En l'absence d'étude géotechnique, nous avons considéré les hypothèses techniques suivantes pour le présent projet :\n- Sous-sol homogène exempt de roche compacte\n- Sous-sol exempt de toute construction souterraine ou réseau enterré\n- Matériaux du site ne pouvant être utilisés en remblai\n- Portance min. du fond de forme = 20MPa (EV2)\n- Contrainte de calcul du sol = 0,2MPa à -0,80cm / T.N.\n\nEn conséquence, la constitution des plateformes sous dallages et voiries retenue est la suivante :\n- Épaisseur de plateforme 0/80 sous voiries :..........................50cm\n- Épaisseur de plateforme 0/80 sous dallages :.......................50cm\n- Portance min.de couche de fondation :. ..............................50MPa (EV2)\n\nL'ensemble des hypothèses décrites ci-dessus devront être confirmées dans le cadre de l'étude géotechnique.\n;;;;IMPORTANT : Intégrer la portance et le module dans le cas d'une étude de sol donnant ces données!!!;1;0;0;;;9;OUVRAGES;;0;;;;;;;;;;2026-05-05T11:04:14;2026-05-05T11:04:14
Évacuation des eaux pluviales;ELEMENT;{36f74ff5-28ef-4fbf-bdb9-d401aa276159};{8866a72a-9741-4afe-bbd2-de450aca462c};;;;;;0;0,2;0;Les hypothèses retenues dans la présente étude sont les suivantes :\n- Le réseau collecteur est supposé être de type séparatif\n- Le rejet des eaux pluviales dans le réseau est supposé être de type gravitaire, sans relevage des eaux préalable\n- Les eaux pluviales de toiture sont rejetées dans le regard collecteur installé à cet effet par le concessionnaire à proximité\nde la limite de propriété\n- Les eaux pluviales de voiries sont traitées avant rejet par un séparateur d'hydrocarbures et rejetées dans le regard\n collecteur installé à cet effet par le concessionnaire à proximité de la limite de propriété\n- Il n'est pas prévu d'ouvrage de rétention ou limitation du débit avant rejet.\n\nL'ensemble des hypothèses décrites ci-dessus devront être confirmées par les règlements d'urbanisme en vigueur sur la\ncommune du projet.\n;;;;;1;0;0;;;9;OUVRAGES;;0;;;;;;;;;;2026-05-05T11:04:14;2026-05-05T11:04:14
Évacuation des eaux usées;ELEMENT;{53626116-7120-426a-aaed-bb4dfb758449};{8866a72a-9741-4afe-bbd2-de450aca462c};;;;;;0;0,2;0;"Les hypothèses retenues dans la présente étude sont les suivantes :\n- Les eaux usées du site sont rejetées dans le regard collecteur installé à cet effet par le concessionnaire à proximité de\n la limite de propriété.\n- Le rejet des eaux usées dans le réseau collecteur est supposé être de type gravitaire, sans relevage des eaux préalable\n- Les eaux usées rejetées sont supposées être de type ""sanitaire"" uniquement, il n'est pas prévu de traitement des\n eaux de type ""industriel""\n\nL'ensemble des hypothèses décrites ci-dessus devront être confirmées par les règlements d'urbanisme en vigueur sur la\ncommune du projet.\n";;;;;1;0;0;;;9;OUVRAGES;;0;;;;;;;;;;2026-05-05T11:04:14;2026-05-05T11:04:14
Réseaux d'adduction;ELEMENT;{c7c00ec3-abe0-4e58-91d6-05802e7d75eb};{8866a72a-9741-4afe-bbd2-de450aca462c};;;;;;0;0,2;0;Les réseaux suivants sont considérés comme amenés en limite de propriété par les concessionnaires concernés :\n- Eau potable (AEP)\n- Electricité\n- Télécom\n- Gaz\n\nLes prestations de raccordement aux réseaux sont à la charge du maître d'ouvrage dans le cadre des demandes à faire auprès\ndes différents concessionnaires.\n;;;;;1;0;0;;;9;OUVRAGES;;0;;;;;;;;;;2026-05-05T11:04:14;2026-05-05T11:04:14
DEMARCHE QUALITE;CHAPTER;{9fb303cf-95de-4d73-942b-801d63a81634};{c3c1a7d2-22d8-40c7-a275-eecb3ca1a120};;;;;;;;;;;;;;1;0;0;;;4;OUVRAGES;;;;;;;;;;;;2026-05-05T11:04:14;2026-05-05T11:04:14
